Lot,Wafer,Mask,Row,Column,DieLabel,TestSite,Name,Date,AnalysisType,AnalysisWavelength [nm],IL(ref-01) [dB],IL(ref-02) [dB],Rsq_REF,Rsq_Spiral01,Rsq_Spiral02,Error_flag
AL810962,D03,SIPP21e,-3,0,(-3|0),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20190927_151701,LOSS,1310.0,-31.39599843462929,-58.985430310014635,0.9968849768193334,0.6650799106433597,0.1376644361601389,
AL810962,D03,SIPP21e,-4,-4,(-4|-4),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20190927_151701,LOSS,1310.0,-16.72151277244211,-66.35899856768083,0.9963595225767359,0.9942050879888022,0.5745857671710758,
AL810962,D03,SIPP21e,-4,4,(-4|4),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20190927_151701,LOSS,1310.0,-15.191573537318618,-62.2729045915039,0.9978534617537386,0.994042946499573,0.4187287192584219,
AL810962,D03,SIPP21e,-5,0,(-5|0),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20190927_151701,LOSS,1310.0,-15.911827115283813,-63.61117376331822,0.9938428948635174,0.9946247368692167,0.38546420306507445,
AL810962,D03,SIPP21e,-6,-2,(-6|-2),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20190927_151701,LOSS,1310.0,-15.215072062623221,-62.38963475602213,0.9958943096434364,0.9933037511186281,0.2971475542527994,
AL810962,D03,SIPP21e,-6,2,(-6|2),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20190927_151701,LOSS,1310.0,-15.248831906937994,-65.3567883229698,0.9967788279619642,0.9901017832885128,0.3523334730557095,
AL810962,D03,SIPP21e,-7,0,(-7|0),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20190927_151701,LOSS,1310.0,-15.439318720214942,-63.04521894422214,0.9967397515462616,0.9907502042020073,0.31364059956583623,
AL810962,D03,SIPP21e,-9,0,(-9|0),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20190927_151701,LOSS,1310.0,-15.821045735532607,-89.4048062994516,0.9967037490844163,0.9956815699620223,0.005067827500191746,
AL810962,D03,SIPP21e,0,-5,(0|-5),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20190927_151701,LOSS,1310.0,-19.848336814786308,-56.996872819087,0.9968220671659614,0.9934503152517472,0.5398777414441529,
AL810962,D03,SIPP21e,0,0,(0|0),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20190927_151701,LOSS,1310.0,-32.080801239804714,-56.16520280412806,0.9952822289077294,0.9178692984881431,0.28671450260163056,
AL810962,D03,SIPP21e,0,5,(0|5),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20190927_151701,LOSS,1310.0,-16.421505538877682,-62.99859081544855,0.9979574412103329,0.9922550514141933,0.349692171398739,
AL810962,D03,SIPP21e,2,-2,(2|-2),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20190927_151701,LOSS,1310.0,-15.929947565571638,-65.33121457710513,0.9965227568795758,0.9955579155090911,0.7505096733483942,
AL810962,D03,SIPP21e,2,2,(2|2),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20190927_151701,LOSS,1310.0,-21.044726484105922,-61.24273300435743,0.9979764320565621,0.9515286693300807,0.3051060630957375,
AL810962,D03,SIPP21e,3,0,(3|0),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20190927_151701,LOSS,1310.0,-20.079944405559218,-60.52451078229933,0.9968435282066398,0.7881718210204274,0.17345781353708478,
AL810962,D03,SIPP21e,4,-4,(4|-4),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20190927_151701,LOSS,1310.0,-18.06456577683639,-63.52404415857745,0.9971140108821644,0.9930259640818148,0.26227377288720843,
AL810962,D03,SIPP21e,4,4,(4|4),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20190927_151701,LOSS,1310.0,-15.861801866049063,-71.56078044763126,0.9974691939547361,0.9965470085827275,0.48086382204698375,
AL810962,D03,SIPP21e,5,0,(5|0),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20190927_151701,LOSS,1310.0,-15.77184062033848,-63.1767151514814,0.99762322896398,0.9967436835362573,0.31789530934735044,
AL810962,D03,SIPP21e,6,-2,(6|-2),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20190927_151701,LOSS,1310.0,-15.187735416704527,-63.61745096947925,0.9977204832341536,0.9949233830174179,0.37690308840632936,
AL810962,D03,SIPP21e,6,2,(6|2),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20190927_151701,LOSS,1310.0,-15.27632404724136,-61.97563710389659,0.9976372491331813,0.9957440555675623,0.40820813365218267,
AL810962,D03,SIPP21e,7,0,(7|0),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20190927_151701,LOSS,1310.0,-15.63514698643121,-63.04799519156222,0.9981098860755004,0.9946345927294322,0.31386012323267143,
AL810962,D03,SIPP21e,9,0,(9|0),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20190927_151701,LOSS,1310.0,-16.400721225712914,-66.5594631729764,0.9968839648125742,0.9926748164915992,0.4762878972860538,
AL810962,D04,SIPP21e,0,-5,(0|-5),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20191114_202310,LOSS,1550.0,-10.941711696097627,0.9595060629657446,0.8708566047219399,0.0,,
AL810962,D04,SIPP21e,0,0,(0|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20191114_202310,LOSS,1550.0,-11.500297733373372,0.989211953455278,0.9920810998092838,0.0,,
AL810962,D04,SIPP21e,0,3,(0|3),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20191114_202310,LOSS,1550.0,-11.223712500112015,0.9794934261323605,0.9823987971664703,0.0,,
AL810962,D04,SIPP21e,2,2,(2|2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20191114_202310,LOSS,1550.0,-12.134206285372784,0.9879907784888603,0.9881888299321445,0.0,,
AL810962,D04,SIPP21e,3,0,(3|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20191114_202310,LOSS,1550.0,-11.141154087316863,0.9889391394026453,0.9906309042476145,0.0,,
AL810962,D04,SIPP21e,4,-4,(4|-4),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20191114_202310,LOSS,1550.0,-10.87420857687539,0.9452118873749397,0.9302588260831817,0.0,,
AL810962,D04,SIPP21e,4,4,(4|4),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20191114_202310,LOSS,1550.0,-10.990317175637756,0.9798135239289311,0.9766645830672028,0.0,,
AL810962,D04,SIPP21e,6,0,(6|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20191114_202310,LOSS,1550.0,-11.076622689775832,0.9864945645594656,0.9901293628277099,0.0,,
AL810962,D04,SIPP21e,0,-5,(0|-5),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20191114_202310,LOSS,1310.0,-18.925550689087686,0.9984742101180257,0.9863630450643746,0.0,,
AL810962,D04,SIPP21e,0,0,(0|0),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20191114_202310,LOSS,1310.0,-19.87788591743447,0.9969058185144676,0.9801506591166216,0.0,,
AL810962,D04,SIPP21e,0,3,(0|3),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20191114_202310,LOSS,1310.0,-14.970084577216767,0.9977845483218928,0.9951932648617111,0.0,,
AL810962,D04,SIPP21e,2,2,(2|2),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20191114_202310,LOSS,1310.0,-14.90342146972398,0.9977351623100722,0.9942901162523388,0.0,,
AL810962,D04,SIPP21e,3,0,(3|0),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20191114_202310,LOSS,1310.0,-15.299238633024288,0.9980104224226225,0.994117647480555,0.0,,
AL810962,D04,SIPP21e,4,-4,(4|-4),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20191114_202310,LOSS,1310.0,-19.599994369926208,0.9980587706114034,0.9880566056641671,0.0,,
AL810962,D04,SIPP21e,4,4,(4|4),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20191114_202310,LOSS,1310.0,-17.691877575038234,0.9981612178655276,0.9903262983744279,0.0,,
AL810962,D04,SIPP21e,6,0,(6|0),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20191114_202310,LOSS,1310.0,-23.31490849229158,0.9979624678355039,0.9862189955596541,0.0,,
AL810962,D04,SIPP21e,-2,-2,(-2|-2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200118_024239,LOSS,1550.0,-11.264228832418667,-56.481974320040536,0.9768094689864305,0.9847048318493169,0.740193415247906,
AL810962,D04,SIPP21e,-2,2,(-2|2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200118_024239,LOSS,1550.0,-11.116336688995943,-54.59812763890659,0.9741655362340476,0.9875153030703386,0.9039129083731287,
AL810962,D04,SIPP21e,-4,-4,(-4|-4),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200118_024239,LOSS,1550.0,-11.830345927453891,-56.18018773524818,0.9449599801780303,0.9564596232163415,0.7444490303490674,
AL810962,D04,SIPP21e,-4,4,(-4|4),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200118_024239,LOSS,1550.0,-16.37922717539186,-59.3796094317222,0.9435490885387603,0.9319957552979642,0.2162072155797814,
AL810962,D04,SIPP21e,-9,0,(-9|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200118_024239,LOSS,1550.0,-11.095609076248365,-55.92174383702513,0.9326522610817103,0.9620965615988554,0.7246247215633503,
AL810962,D04,SIPP21e,0,-5,(0|-5),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200118_024239,LOSS,1550.0,-10.811259554960998,-54.532170532038435,0.9029526852169145,0.9461922855408861,0.6490662162702066,
AL810962,D04,SIPP21e,0,0,(0|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200118_024239,LOSS,1550.0,-11.059963582229102,-54.41886634292314,0.9798890551090401,0.9910311462631143,0.9313606025618487,
AL810962,D04,SIPP21e,0,5,(0|5),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200118_024239,LOSS,1550.0,-10.461180327780312,-53.91502678564575,0.9571112039430142,0.9810569238926234,0.8752042101450199,
AL810962,D04,SIPP21e,2,-2,(2|-2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200118_024239,LOSS,1550.0,-11.200890296047874,-55.45172723683936,0.9603429635907593,0.9813954268729036,0.6583575549178469,
AL810962,D04,SIPP21e,2,2,(2|2),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200118_024239,LOSS,1550.0,-11.790963315252156,-55.99037777946796,0.9847270556568175,0.9872042335568053,0.8302814417264709,
AL810962,D04,SIPP21e,3,0,(3|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200118_024239,LOSS,1550.0,-10.821918770714547,-54.87576461613935,0.9799521154185282,0.9881473938772661,0.9028364223250958,
AL810962,D04,SIPP21e,4,-4,(4|-4),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200118_024239,LOSS,1550.0,-10.815357869811123,-54.8117810394906,0.9549912321465025,0.954878409845642,0.8442196604662775,
AL810962,D04,SIPP21e,4,4,(4|4),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200118_024239,LOSS,1550.0,-10.854815254213463,-54.01041665353114,0.9677652966987761,0.9875081081167153,0.8571392732469082,
AL810962,D04,SIPP21e,9,0,(9|0),IIIV_RWGCTE_SK_450,IIIV_RWGCTE_SK_450,20200118_024239,LOSS,1550.0,-13.244514698366402,-55.35163526365068,0.9625172661001464,0.9376134391638171,0.6881750591055178,
AL810962,D04,SIPP21e,-2,-2,(-2|-2),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200118_024239,LOSS,1310.0,-10.913538790890016,0.9947044458517942,0.9948842151824421,0.0,,
AL810962,D04,SIPP21e,-2,2,(-2|2),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200118_024239,LOSS,1310.0,-10.13204951598891,0.995195154486072,0.9935493854113132,0.0,,
AL810962,D04,SIPP21e,-4,-4,(-4|-4),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200118_024239,LOSS,1310.0,-19.443409129060456,0.9960877399731409,0.9894563341996991,0.0,,
AL810962,D04,SIPP21e,-4,4,(-4|4),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200118_024239,LOSS,1310.0,-8.979151329374872,0.9954049220376368,0.9915598018283117,0.0,,
AL810962,D04,SIPP21e,-9,0,(-9|0),IIIV_RWGOTE_SK_380,IIIV_RWGOTE_SK_380,20200118_024239,LOSS,1310.0,-22.849541103525553,0.9968524072538184,0.9815920515341892,0.0,,
